Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

3.0	4452.0
3.1	3715.0
3.2	2868.0
3.3	2236.0
3.4	1727.0
3.5	1441.0
3.6	1247.0
3.7	1240.0
3.8	1274.0
3.9	1252.0
4.0	1262.0
4.1	1308.0
4.2	1297.0
4.3	1339.0
4.4	1388.0
4.5	1417.0
4.6	1472.0
4.7	1460.0
4.8	1444.0
4.9	1534.0
5.0	1567.0
5.1	1548.0
5.2	1603.0
5.3	1596.0
5.4	1626.0
5.5	1609.0
5.6	1620.0
5.7	1596.0
5.8	1540.0
5.9	1448.0
6.0	1405.0
6.1	1304.0
6.2	1202.0
6.3	1128.0
6.4	1032.0
6.5	952.0
6.6	845.0
6.7	761.0
6.8	675.0
6.9	574.0
7.0	518.0
7.1	469.0
7.2	419.0
7.3	369.0
7.4	364.0
7.5	315.0
7.6	333.0
7.7	328.0
7.8	332.0
7.9	339.0
8.0	345.0
8.1	337.0
8.2	319.0
8.3	302.0
8.4	310.0
8.5	313.0
8.6	325.0
8.7	317.0
8.8	326.0
8.9	322.0
9.0	307.0
9.1	306.0
9.2	323.0
9.3	295.0
9.4	315.0
9.5	326.0
9.6	336.0
9.7	343.0
9.8	360.0
9.9	333.0
10.0	367.0
10.1	357.0
10.2	353.0
10.3	344.0
10.4	376.0
10.5	387.0
10.6	345.0
10.7	387.0
10.8	398.0
10.9	357.0
11.0	351.0
11.1	350.0
11.2	362.0
11.3	357.0
11.4	352.0
11.5	362.0
11.6	382.0
11.7	1032.0
11.8	3199.0
11.9	1881.0
12.0	728.0
12.1	622.0
12.2	556.0
12.3	538.0
12.4	538.0
12.5	513.0
12.6	510.0
12.7	498.0
12.8	506.0
12.9	513.0
13.0	2142.0
13.1	11175.0
13.2	10197.0
13.3	2913.0
13.4	1200.0
13.5	971.0
13.6	895.0
13.7	809.0
13.8	670.0
13.9	559.0
14.0	506.0
14.1	416.0
14.2	417.0
14.3	396.0
14.4	391.0
14.5	382.0
14.6	384.0
14.7	376.0
14.8	367.0
14.9	378.0
15.0	363.0
15.1	371.0
15.2	365.0
15.3	364.0
15.4	358.0
15.5	347.0
15.6	365.0
15.7	341.0
15.8	354.0
15.9	369.0
16.0	413.0
16.1	426.0
16.2	387.0
16.3	400.0
16.4	404.0
16.5	405.0
16.6	0.0
16.7	389.0
16.8	400.0
16.9	400.0
17.0	381.0
17.1	379.0
17.2	382.0
17.3	381.0
17.4	396.0
17.5	398.0
17.6	390.0
17.7	384.0
17.8	402.0
17.9	380.0
18.0	375.0
18.1	381.0
18.2	394.0
18.3	375.0
18.4	382.0
18.5	382.0
18.6	380.0
18.7	373.0
18.8	377.0
18.9	377.0
19.0	356.0
19.1	388.0
19.2	382.0
19.3	374.0
19.4	370.0
19.5	377.0
19.6	363.0
19.7	362.0
19.8	378.0
19.9	367.0
20.0	375.0
20.1	367.0
20.2	355.0
20.3	355.0
20.4	373.0
20.5	350.0
20.6	371.0
20.7	343.0
20.8	342.0
20.9	370.0
21.0	348.0
21.1	362.0
21.2	362.0
21.3	332.0
21.4	377.0
21.5	380.0
21.6	412.0
21.7	364.0
21.8	371.0
21.9	382.0
22.0	395.0
22.1	404.0
22.2	380.0
22.3	349.0
22.4	401.0
22.5	379.0
22.6	382.0
22.7	376.0
22.8	380.0
22.9	356.0
23.0	353.0
23.1	347.0
23.2	359.0
23.3	332.0
23.4	352.0
23.5	353.0
23.6	318.0
23.7	355.0
23.8	347.0
23.9	341.0
24.0	353.0
24.1	344.0
24.2	338.0
24.3	367.0
24.4	432.0
24.5	638.0
24.6	1445.0
24.7	1695.0
24.8	2020.0
24.9	2234.0
25.0	1009.0
25.1	579.0
25.2	499.0
25.3	479.0
25.4	472.0
25.5	441.0
25.6	431.0
25.7	418.0
25.8	418.0
25.9	404.0
26.0	420.0
26.1	415.0
26.2	398.0
26.3	398.0
26.4	421.0
26.5	416.0
26.6	408.0
26.7	406.0
26.8	419.0
26.9	431.0
27.0	462.0
27.1	468.0
27.2	547.0
27.3	717.0
27.4	2046.0
27.5	4275.0
27.6	5000.0
27.7	6450.0
27.8	7781.0
27.9	4138.0
28.0	1026.0
28.1	619.0
28.2	535.0
28.3	519.0
28.4	484.0
28.5	431.0
28.6	421.0
28.7	425.0
28.8	390.0
28.9	375.0
29.0	393.0
29.1	369.0
29.2	384.0
29.3	376.0
29.4	353.0
29.5	378.0
29.6	376.0
29.7	369.0
29.8	362.0
29.9	362.0
30.0	358.0
30.1	369.0
30.2	342.0
30.3	345.0
30.4	354.0
30.5	356.0
30.6	345.0
30.7	337.0
30.8	353.0
30.9	332.0
31.0	317.0
31.1	338.0
31.2	344.0
31.3	334.0
31.4	341.0
31.5	349.0
31.6	354.0
31.7	353.0
31.8	327.0
31.9	360.0
32.0	323.0
32.1	347.0
32.2	366.0
32.3	347.0
32.4	338.0
32.5	329.0
32.6	319.0
32.7	357.0
32.8	340.0
32.9	334.0
33.0	325.0
33.1	336.0
33.2	328.0
33.3	337.0
33.4	331.0
33.5	334.0
33.6	340.0
33.7	333.0
33.8	324.0
33.9	325.0
34.0	329.0
34.1	339.0
34.2	341.0
34.3	336.0
34.4	318.0
34.5	314.0
34.6	334.0
34.7	326.0
34.8	307.0
34.9	329.0
35.0	309.0
35.1	328.0
35.2	332.0
35.3	337.0
35.4	329.0
35.5	336.0
35.6	315.0
35.7	325.0
35.8	315.0
35.9	320.0
36.0	320.0
36.1	323.0
36.2	320.0
36.3	323.0
36.4	327.0
36.5	319.0
36.6	306.0
36.7	315.0
36.8	320.0
36.9	323.0
37.0	317.0
37.1	326.0
37.2	335.0
37.3	323.0
37.4	317.0
37.5	334.0
37.6	327.0
37.7	325.0
37.8	329.0
37.9	349.0
38.0	331.0
38.1	336.0
38.2	342.0
38.3	325.0
38.4	348.0
38.5	363.0
38.6	370.0
38.7	380.0
38.8	467.0
38.9	645.0
39.0	636.0
39.1	658.0
39.2	742.0
39.3	574.0
39.4	388.0
39.5	372.0
39.6	362.0
39.7	340.0
39.8	354.0
39.9	352.0
40.0	342.0
40.1	339.0
40.2	351.0
40.3	346.0
40.4	373.0
40.5	329.0
40.6	331.0
40.7	348.0
40.8	348.0
40.9	337.0
41.0	342.0
41.1	319.0
41.2	330.0
41.3	335.0
41.4	348.0
41.5	344.0
41.6	342.0
41.7	339.0
41.8	351.0
41.9	351.0
42.0	312.0
42.1	363.0
42.2	348.0
42.3	345.0
42.4	340.0
42.5	321.0
42.6	348.0
42.7	332.0
42.8	346.0
42.9	345.0
43.0	370.0
43.1	351.0
43.2	360.0
43.3	354.0
43.4	348.0
43.5	412.0
43.6	436.0
43.7	489.0
43.8	513.0
43.9	583.0
44.0	935.0
44.1	1477.0
44.2	1795.0
44.3	2017.0
44.4	2045.0
44.5	1535.0
44.6	1045.0
44.7	489.0
44.8	450.0
44.9	402.0
45.0	405.0
45.1	390.0
45.2	395.0
45.3	373.0
45.4	376.0
45.5	387.0
45.6	375.0
45.7	363.0
45.8	368.0
45.9	358.0
46.0	366.0
46.1	351.0
46.2	375.0
46.3	377.0
46.4	350.0
46.5	359.0
46.6	353.0
46.7	335.0
46.8	353.0
46.9	360.0
47.0	361.0
47.1	360.0
47.2	356.0
47.3	346.0
47.4	340.0
47.5	349.0
47.6	348.0
47.7	325.0
47.8	334.0
47.9	343.0
48.0	340.0
48.1	346.0
48.2	359.0
48.3	332.0
48.4	357.0
48.5	333.0
48.6	345.0
48.7	364.0
48.8	344.0
48.9	326.0
49.0	356.0
49.1	355.0
49.2	342.0
