Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

3.0	4610.0
3.1	3822.0
3.2	3033.0
3.3	2300.0
3.4	1779.0
3.5	1411.0
3.6	1275.0
3.7	1232.0
3.8	1222.0
3.9	1256.0
4.0	1302.0
4.1	1230.0
4.2	1298.0
4.3	1327.0
4.4	1369.0
4.5	1387.0
4.6	1437.0
4.7	1434.0
4.8	1497.0
4.9	1535.0
5.0	1556.0
5.1	1564.0
5.2	1591.0
5.3	1626.0
5.4	1610.0
5.5	1625.0
5.6	1597.0
5.7	1600.0
5.8	1525.0
5.9	1456.0
6.0	1407.0
6.1	1325.0
6.2	1218.0
6.3	1113.0
6.4	1001.0
6.5	925.0
6.6	835.0
6.7	749.0
6.8	679.0
6.9	582.0
7.0	535.0
7.1	454.0
7.2	406.0
7.3	388.0
7.4	329.0
7.5	311.0
7.6	290.0
7.7	262.0
7.8	249.0
7.9	243.0
8.0	247.0
8.1	231.0
8.2	230.0
8.3	237.0
8.4	219.0
8.5	228.0
8.6	217.0
8.7	214.0
8.8	232.0
8.9	229.0
9.0	271.0
9.1	289.0
9.2	284.0
9.3	283.0
9.4	296.0
9.5	314.0
9.6	313.0
9.7	324.0
9.8	326.0
9.9	338.0
10.0	348.0
10.1	351.0
10.2	369.0
10.3	337.0
10.4	359.0
10.5	392.0
10.6	401.0
10.7	415.0
10.8	397.0
10.9	414.0
11.0	433.0
11.1	427.0
11.2	482.0
11.3	489.0
11.4	488.0
11.5	487.0
11.6	510.0
11.7	501.0
11.8	519.0
11.9	503.0
12.0	525.0
12.1	510.0
12.2	517.0
12.3	550.0
12.4	543.0
12.5	529.0
12.6	540.0
12.7	536.0
12.8	530.0
12.9	549.0
13.0	551.0
13.1	563.0
13.2	554.0
13.3	568.0
13.4	567.0
13.5	509.0
13.6	516.0
13.7	499.0
13.8	504.0
13.9	490.0
14.0	485.0
14.1	493.0
14.2	504.0
14.3	477.0
14.4	492.0
14.5	490.0
14.6	489.0
14.7	491.0
14.8	479.0
14.9	479.0
15.0	501.0
15.1	477.0
15.2	488.0
15.3	514.0
15.4	483.0
15.5	486.0
15.6	491.0
15.7	488.0
15.8	515.0
15.9	464.0
16.0	509.0
16.1	500.0
16.2	492.0
16.3	491.0
16.4	472.0
16.5	501.0
16.6	501.0
16.7	494.0
16.8	479.0
16.9	486.0
17.0	486.0
17.1	460.0
17.2	490.0
17.3	467.0
17.4	471.0
17.5	466.0
17.6	468.0
17.7	454.0
17.8	469.0
17.9	469.0
18.0	461.0
18.1	475.0
18.2	457.0
18.3	456.0
18.4	467.0
18.5	470.0
18.6	456.0
18.7	471.0
18.8	473.0
18.9	483.0
19.0	482.0
19.1	457.0
19.2	451.0
19.3	469.0
19.4	486.0
19.5	481.0
19.6	494.0
19.7	509.0
19.8	551.0
19.9	615.0
20.0	1088.0
20.1	2443.0
20.2	3352.0
20.3	3517.0
20.4	3686.0
20.5	3216.0
20.6	1174.0
20.7	715.0
20.8	699.0
20.9	612.0
21.0	609.0
21.1	578.0
21.2	591.0
21.3	557.0
21.4	577.0
21.5	634.0
21.6	651.0
21.7	684.0
21.8	744.0
21.9	776.0
22.0	856.0
22.1	957.0
22.2	1322.0
22.3	2522.0
22.4	9422.0
22.5	10514.0
22.6	11060.0
22.7	11538.0
22.8	10791.0
22.9	2430.0
23.0	801.0
23.1	654.0
23.2	582.0
23.3	549.0
23.4	481.0
23.5	471.0
23.6	420.0
23.7	425.0
23.8	397.0
23.9	391.0
24.0	388.0
24.1	376.0
24.2	358.0
24.3	392.0
24.4	354.0
24.5	355.0
24.6	364.0
24.7	336.0
24.8	328.0
24.9	317.0
25.0	326.0
25.1	311.0
25.2	304.0
25.3	311.0
25.4	291.0
25.5	295.0
25.6	283.0
25.7	296.0
25.8	282.0
25.9	268.0
26.0	274.0
26.1	272.0
26.2	273.0
26.3	270.0
26.4	253.0
26.5	257.0
26.6	255.0
26.7	248.0
26.8	250.0
26.9	240.0
27.0	236.0
27.1	241.0
27.2	233.0
27.3	241.0
27.4	218.0
27.5	211.0
27.6	233.0
27.7	219.0
27.8	210.0
27.9	220.0
28.0	199.0
28.1	186.0
28.2	206.0
28.3	190.0
28.4	182.0
28.5	195.0
28.6	197.0
28.7	182.0
28.8	180.0
28.9	188.0
29.0	179.0
29.1	178.0
29.2	169.0
29.3	173.0
29.4	170.0
29.5	185.0
29.6	172.0
29.7	171.0
29.8	154.0
29.9	155.0
30.0	153.0
30.1	163.0
30.2	171.0
30.3	158.0
30.4	141.0
30.5	145.0
30.6	153.0
30.7	153.0
30.8	131.0
30.9	141.0
31.0	142.0
31.1	146.0
31.2	129.0
31.3	152.0
31.4	144.0
31.5	143.0
31.6	151.0
31.7	150.0
31.8	160.0
31.9	160.0
32.0	152.0
32.1	150.0
32.2	150.0
32.3	139.0
32.4	130.0
32.5	142.0
32.6	142.0
32.7	147.0
32.8	137.0
32.9	139.0
33.0	128.0
33.1	120.0
33.2	130.0
33.3	120.0
33.4	121.0
33.5	118.0
33.6	116.0
33.7	110.0
33.8	119.0
33.9	112.0
34.0	120.0
34.1	124.0
34.2	125.0
34.3	117.0
34.4	104.0
34.5	108.0
34.6	105.0
34.7	111.0
34.8	100.0
34.9	119.0
35.0	110.0
35.1	109.0
35.2	117.0
35.3	107.0
35.4	112.0
35.5	98.0
35.6	99.0
35.7	106.0
35.8	105.0
35.9	100.0
36.0	102.0
36.1	99.0
36.2	93.0
36.3	89.0
36.4	109.0
36.5	93.0
36.6	89.0
36.7	101.0
36.8	107.0
36.9	91.0
37.0	83.0
37.1	90.0
37.2	81.0
37.3	85.0
37.4	86.0
37.5	88.0
37.6	87.0
37.7	103.0
37.8	84.0
37.9	91.0
38.0	95.0
38.1	95.0
38.2	99.0
38.3	87.0
38.4	88.0
38.5	90.0
38.6	86.0
38.7	81.0
38.8	89.0
38.9	93.0
39.0	85.0
39.1	78.0
39.2	80.0
39.3	90.0
39.4	87.0
39.5	95.0
39.6	87.0
39.7	81.0
39.8	97.0
39.9	84.0
40.0	88.0
40.1	75.0
40.2	89.0
40.3	76.0
40.4	86.0
40.5	82.0
40.6	83.0
40.7	71.0
40.8	76.0
40.9	84.0
41.0	80.0
41.1	77.0
41.2	79.0
41.3	81.0
41.4	79.0
41.5	80.0
41.6	82.0
41.7	77.0
41.8	90.0
41.9	81.0
42.0	81.0
42.1	82.0
42.2	87.0
42.3	81.0
42.4	79.0
42.5	80.0
42.6	92.0
42.7	88.0
42.8	83.0
42.9	96.0
43.0	131.0
43.1	189.0
43.2	201.0
43.3	179.0
43.4	164.0
43.5	225.0
43.6	390.0
43.7	557.0
43.8	571.0
43.9	600.0
44.0	500.0
44.1	302.0
44.2	139.0
44.3	105.0
44.4	108.0
44.5	105.0
44.6	100.0
44.7	101.0
44.8	89.0
44.9	95.0
45.0	103.0
45.1	95.0
45.2	86.0
45.3	90.0
45.4	89.0
45.5	82.0
45.6	96.0
45.7	89.0
45.8	89.0
45.9	75.0
46.0	87.0
46.1	96.0
46.2	87.0
46.3	78.0
46.4	75.0
46.5	76.0
46.6	93.0
46.7	82.0
46.8	91.0
46.9	86.0
47.0	79.0
47.1	92.0
47.2	91.0
47.3	93.0
47.4	82.0
47.5	92.0
47.6	97.0
47.7	98.0
47.8	98.0
47.9	102.0
48.0	98.0
48.1	103.0
48.2	86.0
48.3	105.0
48.4	97.0
48.5	102.0
48.6	95.0
48.7	99.0
48.8	119.0
48.9	121.0
49.0	130.0
49.1	148.0
49.2	217.0
49.3	347.0
