Crystal angle	Rate at 29kV
theta/°	R(29kV)/Imp/s

19.0	235.0
19.1	260.0
19.2	269.0
19.3	263.0
19.4	276.0
19.5	290.0
19.6	254.0
19.7	294.0
19.8	282.0
19.9	303.0
20.0	355.0
20.1	554.0
20.2	1106.0
20.3	1972.0
20.4	2512.0
20.5	1770.0
20.6	547.0
20.7	388.0
20.8	393.0
20.9	344.0
21.0	341.0
21.1	323.0
21.2	361.0
21.3	343.0
21.4	355.0
21.5	388.0
21.6	454.0
21.7	502.0
21.8	546.0
21.9	536.0
22.0	525.0
22.1	580.0
22.2	735.0
22.3	1109.0
22.4	3364.0
22.5	7119.0
22.6	8864.0
22.7	8899.0
22.8	6996.0
22.9	994.0
23.0	461.0
23.1	385.0
23.2	330.0
23.3	333.0
23.4	316.0
23.5	303.0
23.6	274.0
23.7	275.0
23.8	269.0
23.9	271.0
24.0	238.0
