Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

19.0	120.0
19.1	122.0
19.2	110.0
19.3	99.0
19.4	108.0
19.5	122.0
19.6	117.0
19.7	112.0
19.8	115.0
19.9	136.0
20.0	145.0
20.1	250.0
20.2	537.0
20.3	948.0
20.4	1224.0
20.5	782.0
20.6	227.0
20.7	177.0
20.8	167.0
20.9	156.0
21.0	153.0
21.1	138.0
21.2	121.0
21.3	147.0
21.4	179.0
21.5	175.0
21.6	182.0
21.7	203.0
21.8	214.0
21.9	231.0
22.0	228.0
22.1	258.0
22.2	328.0
22.3	563.0
22.4	1746.0
22.5	3815.0
22.6	4442.0
22.7	4454.0
22.8	3423.0
22.9	391.0
23.0	195.0
23.1	158.0
23.2	142.0
23.3	146.0
23.4	120.0
23.5	123.0
23.6	111.0
23.7	114.0
23.8	103.0
23.9	109.0
24.0	100.0
