Crystal angle	Rate at 13kV	Rate at 15kV	Rate at 17kV	Rate at 19kV	Rate at 23kV	Rate at 27kV	Rate at 31kV
theta/Á	R(13kV)/Imp/s	R(15kV)/Imp/s	R(17kV)/Imp/s	R(19kV)/Imp/s	R(23kV)/Imp/s	R(27kV)/Imp/s	R(31kV)/Imp/s
							
3.0	2.0	5.0	9.0	17.0	23.0	31.0	51.0
3.1	3.0	7.0	9.0	12.0	24.0	36.0	42.0
3.2	2.0	6.0	13.0	11.0	18.0	26.0	43.0
3.3	3.0	6.0	9.0	9.0	17.0	24.0	43.0
3.4	2.0	5.0	8.0	13.0	12.0	27.0	35.0
3.5	0.0	3.0	8.0	12.0	17.0	22.0	30.0
3.6	4.0	5.0	7.0	8.0	15.0	23.0	35.0
3.7	5.0	3.0	3.0	10.0	13.0	19.0	34.0
3.8	2.0	4.0	7.0	10.0	18.0	22.0	35.0
3.9	2.0	2.0	5.0	6.0	12.0	23.0	35.0
4.0	2.0	1.0	4.0	7.0	14.0	24.0	32.0
4.1	4.0	5.0	6.0	6.0	20.0	21.0	36.0
4.2	1.0	4.0	4.0	10.0	16.0	21.0	34.0
4.3	3.0	3.0	6.0	6.0	12.0	27.0	33.0
4.4	1.0	4.0	6.0	12.0	11.0	22.0	33.0
4.5	4.0	1.0	5.0	5.0	11.0	19.0	30.0
4.6	2.0	2.0	6.0	5.0	10.0	19.0	26.0
4.7	2.0	1.0	5.0	4.0	10.0	20.0	23.0
4.8	3.0	3.0	2.0	8.0	13.0	14.0	25.0
4.9	1.0	3.0	4.0	9.0	11.0	12.0	32.0
5.0	1.0	2.0	5.0	10.0	9.0	17.0	24.0
5.1	1.0	2.0	4.0	9.0	9.0	15.0	30.0
5.2	3.0	3.0	2.0	6.0	15.0	20.0	33.0
5.3	2.0	2.0	6.0	5.0	7.0	13.0	26.0
5.4	2.0	2.0	3.0	5.0	10.0	15.0	25.0
5.5	2.0	3.0	8.0	5.0	7.0	14.0	24.0
5.6	2.0	2.0	2.0	8.0	9.0	18.0	31.0
5.7	1.0	1.0	4.0	7.0	11.0	17.0	23.0
5.8	2.0	4.0	3.0	0.0	11.0	12.0	25.0
5.9	1.0	3.0	4.0	5.0	11.0	15.0	30.0
6.0	0.0	3.0	2.0	8.0	11.0	14.0	22.0
6.1	1.0	2.0	3.0	4.0	10.0	16.0	28.0
6.2	0.0	3.0	5.0	2.0	9.0	12.0	24.0
6.3	3.0	1.0	2.0	5.0	9.0	16.0	22.0
6.4	2.0	2.0	3.0	2.0	7.0	20.0	24.0
6.5	1.0	1.0	6.0	6.0	6.0	20.0	28.0
6.6	0.0	1.0	2.0	3.0	10.0	17.0	29.0
6.7	1.0	1.0	2.0	5.0	9.0	12.0	19.0
6.8	0.0	2.0	3.0	5.0	13.0	21.0	28.0
6.9	1.0	1.0	3.0	4.0	6.0	14.0	24.0
7.0	2.0	1.0	3.0	4.0	7.0	12.0	22.0
7.1	1.0	3.0	3.0	5.0	11.0	18.0	24.0
7.2	2.0	2.0	2.0	4.0	10.0	17.0	26.0
7.3	2.0	2.0	4.0	3.0	10.0	18.0	20.0
7.4	2.0	1.0	4.0	5.0	10.0	19.0	31.0
7.5	1.0	2.0	2.0	6.0	8.0	15.0	29.0
7.6	2.0	3.0	2.0	6.0	10.0	21.0	28.0
7.7	1.0	1.0	2.0	6.0	10.0	11.0	24.0
7.8	0.0	2.0	3.0	4.0	8.0	13.0	30.0
7.9	4.0	2.0	3.0	7.0	5.0	21.0	24.0
8.0	1.0	1.0	3.0	5.0	9.0	19.0	25.0
8.1	0.0	2.0	5.0	6.0	8.0	15.0	27.0
8.2	0.0	2.0	1.0	4.0	15.0	15.0	37.0
8.3	2.0	3.0	2.0	5.0	13.0	15.0	23.0
8.4	0.0	3.0	4.0	4.0	8.0	16.0	33.0
8.5	0.0	0.0	4.0	5.0	12.0	17.0	28.0
8.6	0.0	2.0	4.0	6.0	11.0	27.0	29.0
8.7	1.0	0.0	2.0	4.0	8.0	22.0	29.0
8.8	0.0	0.0	2.0	3.0	12.0	18.0	35.0
8.9	1.0	1.0	2.0	3.0	12.0	20.0	27.0
9.0	1.0	2.0	5.0	3.0	12.0	18.0	38.0
9.1	0.0	2.0	3.0	4.0	13.0	22.0	29.0
9.2	2.0	2.0	4.0	8.0	11.0	18.0	32.0
9.3	1.0	2.0	3.0	9.0	7.0	25.0	32.0
9.4	1.0	0.0	5.0	5.0	13.0	23.0	23.0
9.5	2.0	0.0	4.0	5.0	12.0	21.0	29.0
9.6	0.0	2.0	3.0	3.0	11.0	27.0	30.0
9.7	2.0	2.0	4.0	4.0	13.0	17.0	34.0
9.8	0.0	3.0	4.0	7.0	12.0	22.0	37.0
9.9	2.0	3.0	1.0	4.0	14.0	21.0	30.0
10.0	2.0	1.0	5.0	6.0	20.0	28.0	27.0
10.1	2.0	4.0	4.0	7.0	10.0	25.0	39.0
10.2	1.0	2.0	5.0	7.0	14.0	23.0	36.0
10.3	2.0	0.0	3.0	4.0	12.0	21.0	37.0
10.4	0.0	0.0	3.0	6.0	13.0	23.0	29.0
10.5	0.0	1.0	5.0	6.0	12.0	27.0	38.0
10.6	1.0	2.0	4.0	7.0	21.0	23.0	30.0
10.7	1.0	0.0	8.0	11.0	14.0	21.0	40.0
10.8	0.0	2.0	6.0	9.0	16.0	22.0	40.0
10.9	0.0	2.0	4.0	6.0	11.0	26.0	38.0
