Crystal angle	Rate at 19kV	Rate at 23kV	Rate at 27kV	Rate at 31kV	Rate at 35kV
theta/°	R(19kV)/Imp/s	R(23kV)/Imp/s	R(27kV)/Imp/s	R(31kV)/Imp/s	R(35kV)/Imp/s

3.0	17.0	23.0	31.0	51.0	0.0
3.1	12.0	24.0	36.0	42.0	0.0
3.2	11.0	18.0	26.0	43.0	0.0
3.3	9.0	17.0	24.0	43.0	0.0
3.4	13.0	12.0	27.0	35.0	0.0
3.5	12.0	17.0	22.0	30.0	0.0
3.6	8.0	15.0	23.0	35.0	0.0
3.7	10.0	13.0	19.0	34.0	0.0
3.8	10.0	18.0	22.0	35.0	0.0
3.9	6.0	12.0	23.0	35.0	0.0
4.0	7.0	14.0	24.0	32.0	0.0
4.1	6.0	20.0	21.0	36.0	0.0
4.2	10.0	16.0	21.0	34.0	0.0
4.3	6.0	12.0	27.0	33.0	0.0
4.4	12.0	11.0	22.0	33.0	0.0
4.5	5.0	11.0	19.0	30.0	0.0
4.6	5.0	10.0	19.0	26.0	0.0
4.7	4.0	10.0	20.0	23.0	0.0
4.8	8.0	13.0	14.0	25.0	0.0
4.9	9.0	11.0	12.0	32.0	0.0
5.0	10.0	9.0	17.0	24.0	0.0
5.1	9.0	9.0	15.0	30.0	0.0
5.2	6.0	15.0	20.0	33.0	0.0
5.3	5.0	7.0	13.0	26.0	0.0
5.4	5.0	10.0	15.0	25.0	0.0
5.5	5.0	7.0	14.0	24.0	0.0
5.6	8.0	9.0	18.0	31.0	0.0
5.7	7.0	11.0	17.0	23.0	0.0
5.8	0.0	11.0	12.0	25.0	0.0
5.9	5.0	11.0	15.0	30.0	0.0
6.0	8.0	11.0	14.0	22.0	0.0
6.1	4.0	10.0	16.0	28.0	0.0
6.2	2.0	9.0	12.0	24.0	0.0
6.3	5.0	9.0	16.0	22.0	0.0
6.4	2.0	7.0	20.0	24.0	0.0
6.5	6.0	6.0	20.0	28.0	0.0
6.6	3.0	10.0	17.0	29.0	0.0
6.7	5.0	9.0	12.0	19.0	0.0
6.8	5.0	13.0	21.0	28.0	0.0
6.9	4.0	6.0	14.0	24.0	0.0
7.0	4.0	7.0	12.0	22.0	0.0
7.1	5.0	11.0	18.0	24.0	0.0
7.2	4.0	10.0	17.0	26.0	0.0
7.3	3.0	10.0	18.0	20.0	0.0
7.4	5.0	10.0	19.0	31.0	0.0
7.5	6.0	8.0	15.0	29.0	0.0
7.6	6.0	10.0	21.0	28.0	0.0
7.7	6.0	10.0	11.0	24.0	0.0
7.8	4.0	8.0	13.0	30.0	0.0
7.9	7.0	5.0	21.0	24.0	0.0
8.0	5.0	9.0	19.0	25.0	0.0
8.1	6.0	8.0	15.0	27.0	0.0
8.2	4.0	15.0	15.0	37.0	0.0
8.3	5.0	13.0	15.0	23.0	0.0
8.4	4.0	8.0	16.0	33.0	0.0
8.5	5.0	12.0	17.0	28.0	0.0
8.6	6.0	11.0	27.0	29.0	0.0
8.7	4.0	8.0	22.0	29.0	0.0
8.8	3.0	12.0	18.0	35.0	0.0
8.9	3.0	12.0	20.0	27.0	0.0
9.0	3.0	12.0	18.0	38.0	0.0
9.1	4.0	13.0	22.0	29.0	0.0
9.2	8.0	11.0	18.0	32.0	0.0
9.3	9.0	7.0	25.0	32.0	0.0
9.4	5.0	13.0	23.0	23.0	0.0
9.5	5.0	12.0	21.0	29.0	0.0
9.6	3.0	11.0	27.0	30.0	0.0
9.7	4.0	13.0	17.0	34.0	0.0
9.8	7.0	12.0	22.0	37.0	0.0
9.9	4.0	14.0	21.0	30.0	0.0
10.0	6.0	20.0	28.0	27.0	0.0
10.1	7.0	10.0	25.0	39.0	0.0
10.2	7.0	14.0	23.0	36.0	0.0
10.3	4.0	12.0	21.0	37.0	0.0
10.4	6.0	13.0	23.0	29.0	0.0
10.5	6.0	12.0	27.0	38.0	0.0
10.6	7.0	21.0	23.0	30.0	0.0
10.7	11.0	14.0	21.0	40.0	0.0
10.8	9.0	16.0	22.0	40.0	0.0
10.9	6.0	11.0	26.0	38.0	0.0
11.0	7.0	17.0	26.0	36.0	0.0
11.1	8.0	14.0	25.0	39.0	0.0
11.2	6.0	12.0	27.0	34.0	0.0
11.3	9.0	13.0	26.0	34.0	0.0
11.4	7.0	8.0	28.0	29.0	0.0
11.5	8.0	15.0	24.0	32.0	0.0
11.6	10.0	19.0	27.0	42.0	0.0
11.7	11.0	17.0	30.0	37.0	0.0
11.8	11.0	22.0	24.0	36.0	0.0
11.9	8.0	15.0	26.0	36.0	0.0
12.0	10.0	15.0	25.0	32.0	0.0
12.1	7.0	18.0	31.0	35.0	0.0
12.2	9.0	19.0	27.0	36.0	0.0
12.3	12.0	17.0	27.0	32.0	0.0
12.4	7.0	14.0	26.0	47.0	0.0
12.5	7.0	26.0	32.0	45.0	0.0
12.6	9.0	16.0	25.0	37.0	0.0
12.7	13.0	17.0	23.0	41.0	0.0
12.8	9.0	17.0	27.0	38.0	0.0
12.9	10.0	23.0	25.0	32.0	0.0
13.0	9.0	22.0	31.0	35.0	0.0
13.1	11.0	24.0	26.0	39.0	0.0
13.2	12.0	19.0	26.0	38.0	0.0
13.3	13.0	26.0	37.0	44.0	0.0
13.4	15.0	20.0	31.0	47.0	0.0
13.5	15.0	21.0	29.0	45.0	0.0
13.6	13.0	18.0	35.0	43.0	0.0
13.7	15.0	29.0	33.0	37.0	0.0
13.8	12.0	21.0	25.0	41.0	0.0
13.9	19.0	25.0	42.0	47.0	0.0
14.0	15.0	25.0	30.0	44.0	0.0
14.1	18.0	22.0	35.0	40.0	0.0
14.2	22.0	29.0	42.0	39.0	0.0
14.3	23.0	21.0	28.0	46.0	0.0
14.4	15.0	20.0	34.0	41.0	0.0
14.5	20.0	35.0	36.0	40.0	0.0
14.6	17.0	22.0	30.0	40.0	0.0
14.7	17.0	32.0	31.0	51.0	0.0
14.8	13.0	26.0	33.0	48.0	0.0
14.9	21.0	35.0	40.0	50.0	0.0
15.0	20.0	35.0	40.0	49.0	0.0
15.1	20.0	34.0	38.0	44.0	0.0
15.2	20.0	28.0	36.0	43.0	0.0
15.3	18.0	24.0	35.0	56.0	0.0
15.4	16.0	29.0	39.0	52.0	0.0
15.5	16.0	25.0	42.0	44.0	0.0
15.6	27.0	31.0	36.0	49.0	0.0
15.7	24.0	32.0	41.0	49.0	0.0
15.8	24.0	34.0	50.0	50.0	0.0
15.9	18.0	38.0	43.0	56.0	0.0
16.0	26.0	32.0	45.0	45.0	0.0
16.1	22.0	27.0	52.0	47.0	0.0
16.2	22.0	39.0	47.0	51.0	0.0
16.3	25.0	31.0	51.0	61.0	0.0
16.4	26.0	28.0	45.0	51.0	0.0
16.5	18.0	32.0	51.0	58.0	0.0
16.6	22.0	40.0	40.0	57.0	0.0
16.7	30.0	36.0	47.0	57.0	0.0
16.8	21.0	32.0	38.0	64.0	0.0
16.9	19.0	30.0	46.0	51.0	0.0
17.0	25.0	31.0	41.0	51.0	0.0
17.1	24.0	27.0	48.0	58.0	0.0
17.2	23.0	32.0	55.0	51.0	0.0
17.3	24.0	24.0	38.0	54.0	0.0
17.4	26.0	32.0	39.0	54.0	0.0
17.5	29.0	33.0	37.0	45.0	0.0
17.6	21.0	28.0	30.0	44.0	0.0
17.7	16.0	28.0	40.0	52.0	0.0
17.8	15.0	31.0	43.0	45.0	0.0
17.9	24.0	23.0	42.0	46.0	0.0
18.0	17.0	32.0	32.0	42.0	0.0
18.1	23.0	33.0	43.0	46.0	0.0
18.2	20.0	22.0	48.0	43.0	0.0
18.3	27.0	32.0	38.0	52.0	0.0
18.4	17.0	27.0	34.0	44.0	0.0
18.5	21.0	29.0	43.0	41.0	0.0
18.6	20.0	28.0	42.0	46.0	0.0
18.7	22.0	42.0	40.0	54.0	0.0
18.8	24.0	28.0	30.0	58.0	0.0
18.9	21.0	28.0	49.0	54.0	0.0
19.0	17.0	30.0	33.0	48.0	0.0
19.1	17.0	31.0	45.0	50.0	0.0
19.2	22.0	30.0	44.0	44.0	0.0
19.3	22.0	35.0	37.0	56.0	0.0
19.4	22.0	37.0	48.0	51.0	0.0
19.5	21.0	30.0	45.0	60.0	0.0
19.6	30.0	31.0	34.0	57.0	0.0
19.7	18.0	37.0	41.0	51.0	0.0
19.8	26.0	36.0	42.0	61.0	0.0
19.9	27.0	35.0	48.0	60.0	0.0
20.0	28.0	35.0	49.0	65.0	0.0
20.1	34.0	47.0	61.0	77.0	0.0
20.2	51.0	84.0	129.0	133.0	0.0
20.3	94.0	142.0	204.0	228.0	0.0
20.4	218.0	335.0	491.0	626.0	0.0
20.5	183.0	300.0	425.0	593.0	0.0
20.6	42.0	61.0	79.0	94.0	0.0
20.7	31.0	41.0	59.0	70.0	0.0
20.8	23.0	42.0	55.0	73.0	0.0
20.9	16.0	34.0	42.0	57.0	0.0
21.0	25.0	34.0	54.0	72.0	0.0
